date,open,high,low,close,volume,log_return,simple_return
2024-12-05,3353.057,3377.055,3353.057,3368.855,54388574600,0.001248978220592889,0.0012497585187165594
2024-12-06,3370.941,3418.261,3364.206,3404.076,69818657200,0.010400613115791657,0.010454887491447407
2024-12-09,3402.629,3426.645,3385.959,3402.534,69490520500,-0.00045308899037266315,-0.0004529863610565066
2024-12-10,3490.289,3494.867,3417.765,3422.661,79466803400,0.005897870564254504,0.005915297246111173
2024-12-11,3416.087,3437.81,3416.087,3432.49,68154461000,0.0028676266169931353,0.002871742191236537
2024-12-12,3432.279,3464.116,3425.976,3461.5,70009668900,0.008416075808675316,0.008451590536316278
2024-12-13,3442.926,3442.926,3390.754,3391.878,77746414400,-0.02031827083424531,-0.020113245702729987
2024-12-16,3390.083,3401.926,3376.536,3386.331,62557899600,-0.0016367159048336077,-0.001635377215807865
2024-12-17,3381.814,3396.207,3357.769,3361.485,56894150500,-0.007364193773485184,-0.007337144537849394
2024-12-18,3371.296,3396.46,3371.296,3382.208,51252497900,0.006145910031616353,0.006164834886962067
2024-12-19,3355.904,3377.532,3346.469,3370.033,51390906300,-0.003606214053801793,-0.003599719473196261
2024-12-20,3364.481,3390.618,3362.819,3368.069,49096462100,-0.0005829534950994031,-0.0005827836107242801
2024-12-23,3367.904,3384.992,3348.277,3351.257,55674724800,-0.0050040837673979155,-0.004991584198542176
2024-12-24,3353.535,3394.904,3352.947,3393.528,47199267300,0.012534588857159079,0.012613476077782071
2024-12-25,3395.107,3406.213,3374.011,3393.35,47131559200,-5.245416229371358e-05,-5.2452786598489176e-05
2024-12-26,3389.338,3401.095,3380.255,3398.077,42217727100,0.0013920493479009366,0.0013930186983366344
2024-12-27,3397.294,3418.952,3388.322,3400.142,50048813000,0.0006075120744153395,0.0006076966472505774
2024-12-30,3395.396,3412.841,3394.965,3407.326,45526238300,0.002110623999083572,0.0021128529337892665
2024-12-31,3406.965,3413.455,3351.763,3351.763,50273106200,-0.016441343392052943,-0.016306922202336982
2025-01-02,3347.939,3351.722,3242.087,3262.561,56137519900,-0.026974006270881645,-0.026613456858375684
2025-01-03,3267.077,3273.566,3205.776,3211.43,51759201400,-0.015796148982090585,-0.015672044139557917
2025-01-06,3209.783,3219.488,3185.463,3206.923,43097840300,-0.0014044103653354512,-0.0014034246426046781
2025-01-07,3203.307,3230.853,3190.461,3229.644,40966052900,0.007060003997390041,0.007084984578675568
2025-01-08,3218.858,3246.291,3175.725,3230.168,47286439000,0.00016223382387892116,0.00016224698449751607
2025-01-09,3220.721,3228.973,3205.91,3211.393,38294355700,-0.0058293488694936,-0.005812391182130505
2025-01-10,3211.707,3220.107,3168.524,3168.524,40366334800,-0.013438935081532932,-0.01334903576111679
2025-01-13,3148.826,3172.7,3140.978,3160.755,37274202300,-0.0024549412031937834,-0.00245193029940749
2025-01-14,3165.161,3245.22,3159.432,3240.94,46921270400,0.025052488071708012,0.025368938750393477
2025-01-15,3234.715,3245.904,3222.236,3227.117,40472319900,-0.004274242185722699,-0.0042651206131554265
2025-01-16,3239.026,3265.282,3217.097,3236.032,43065553900,0.002758718901262114,0.002762527667884429
2025-01-17,3226.762,3256.507,3219.773,3241.821,38359926000,0.0017873210587175947,0.0017889192690305755
2025-01-20,3256.149,3268.263,3238.121,3244.378,40333794800,0.0007884433186404749,0.0007887542217785981
2025-01-21,3256.833,3258.61,3229.069,3242.623,38458371800,-0.0005410820941182948,-0.0005409357356017663
2025-01-22,3235.493,3235.501,3203.38,3213.624,36481751800,-0.008983297887192876,-0.008943068620681505
2025-01-23,3237.599,3273.52,3229.572,3230.164,45824680300,0.005133637644474831,0.005146837340024968
2025-01-24,3222.877,3260.011,3221.712,3252.626,39865303300,0.006929760145959918,0.006953826493020232
2025-01-27,3256.614,3274.392,3250.601,3250.601,38746764200,-0.0006227677629730977,-0.0006225738833791628
2025-02-05,3270.16,3271.022,3220.279,3229.488,40638818100,-0.006516291584389933,-0.006495106597210865
2025-02-06,3226.575,3271.427,3225.846,3270.659,46084273000,0.012667882918883322,0.01274846043707245
2025-02-07,3269.227,3324.428,3262.509,3303.667,60055845100,0.010041569997550681,0.010092155739867659
2025-02-10,3308.04,3325.356,3299.243,3322.17,54658974900,0.005585120218881912,0.0056007460800377995
2025-02-11,3323.669,3324.173,3304.444,3318.057,51194354100,-0.0012388132291274445,-0.001238046216780031
2025-02-12,3312.257,3346.385,3310.39,3346.385,51343782800,0.008501288062722878,0.008537526630796322
2025-02-13,3343.235,3359.181,3332.483,3332.483,56863116100,-0.004162986924530543,-0.004154333706372748
2025-02-14,3328.483,3349.084,3322.529,3346.724,53233296500,0.0042642851404384174,0.004273390141825262
2025-02-17,3355.417,3357.121,3333.195,3355.83,58954656900,0.0027171748567784704,0.0027208697221521305
2025-02-18,3348.983,3366.012,3314.301,3324.491,56267924000,-0.009382552096916186,-0.009338673293939226
2025-02-19,3320.78,3352.087,3320.581,3351.539,50291296500,0.008103063646109021,0.008135982320301105
2025-02-20,3347.589,3355.557,3338.034,3350.783,50435711400,-0.00022559345946149278,-0.00022556801517159553
2025-02-21,3356.695,3381.058,3339.026,3379.113,60819020600,0.008419199150342394,0.00845474028010762
2025-02-24,3374.081,3384.811,3355.869,3373.028,59818820300,-0.0018023917590923588,-0.0018007684265072266
2025-02-25,3345.653,3369.558,3337.845,3346.04,52757856200,-0.008033300194792758,-0.008001119468916351
2025-02-26,3351.209,3380.214,3351.209,3380.214,55399203100,0.010161464034371903,0.010213267026096595
2025-02-27,3378.449,3388.781,3353.571,3388.062,57581502000,0.0023190554041292444,0.0023217464929734533
2025-02-28,3374.664,3383.191,3318.716,3320.897,56831950400,-0.020023149345252733,-0.01982401738811157
2025-03-03,3328.396,3349.017,3304.593,3316.925,50241786200,-0.0011967782426474116,-0.0011960623891676958
2025-03-04,3300.498,3327.824,3297.53,3324.21,42999611100,0.0021939029765309925,0.002196311342583801
2025-03-05,3324.696,3342.714,3314.148,3341.965,46095269600,0.005326905454632325,0.0053411186417224865
2025-03-06,3353.57,3387.054,3348.684,3381.098,53999270900,0.011641551465357836,0.011709578047645497
2025-03-07,3373.181,3390.944,3363.929,3372.546,51766355100,-0.0025325600730337072,-0.0025293558483072687
2025-03-10,3373.259,3375.798,3347.186,3366.163,45038083200,-0.0018944287129709636,-0.001892635415499111
2025-03-11,3335.439,3379.829,3334.831,3379.828,44846832300,0.004051300599227758,0.00405951821109074
2025-03-12,3385.685,3392.409,3370.22,3371.924,50219510000,-0.0023413192933219307,-0.002338580543151947
2025-03-13,3371.095,3377.118,3341.118,3358.729,51901347900,-0.00392087273081998,-0.003913196145583386
2025-03-14,3361.686,3421.233,3360.606,3419.562,58266338800,0.01794984409538536,0.018111910785300056
2025-03-17,3430.809,3436.352,3422.462,3426.129,51568513800,0.0019185797356033873,0.0019204213873005305
2025-03-18,3434.565,3437.065,3423.301,3429.759,45491606300,0.001058943885666963,0.0010595047647068423
2025-03-19,3424.173,3439.046,3414.593,3426.429,44031629900,-0.0009713853417796514,-0.0009709136997672063
2025-03-20,3425.216,3427.045,3404.662,3408.948,45163068200,-0.005114871677553978,-0.005101812995395583
2025-03-21,3401.759,3414.709,3355.84,3364.831,52086263000,-0.013026000346462396,-0.012941529175569677
2025-03-24,3364.834,3373.694,3340.238,3370.028,51331026000,0.0015433139822302877,0.0015445055041396483
2025-03-25,3370.001,3379.988,3361.046,3369.976,45635739300,-1.5430257905180156e-05,-1.5430138859295894e-05
2025-03-26,3365.666,3382.342,3365.666,3368.697,42853377000,-0.0003795999643720904,-0.0003795279254213968
2025-03-27,3362.712,3394.035,3351.174,3373.749,41477631400,0.001498566231139975,0.0014996896426124895
2025-03-28,3372.039,3375.053,3346.081,3351.307,41228428900,-0.006674169941680574,-0.006651947136553482
2025-03-31,3343.344,3361.742,3317.738,3335.746,47257197800,-0.004654076493233461,-0.004643263061247405
2025-04-01,3340.712,3357.622,3338.779,3348.435,42258867000,0.0037967299936454424,0.0038039467033761376
2025-04-02,3344.171,3361.134,3343.116,3350.127,35012736400,0.0005051830634652532,0.0005053106899193249
2025-04-03,3319.606,3358.426,3319.606,3342.008,40051782700,-0.0024264316196358493,-0.002423490213953161
2025-04-07,3193.102,3217.782,3040.693,3096.576,66219958400,-0.07627483901191567,-0.07343848369004502
2025-04-08,3094.262,3145.549,3085.123,3145.549,66224238700,0.01569145278158146,0.01581521009011233
2025-04-09,3110.01,3186.81,3070.078,3186.81,68479717400,0.013031978746985473,0.013117265062474015
2025-04-10,3227.836,3239.941,3201.571,3223.638,59120827300,0.011490118998606746,0.011556383970177109
2025-04-11,3219.505,3249.854,3211.35,3238.227,47553180400,0.004515422339514075,0.0045256322204911825
2025-04-14,3251.978,3272.72,3244.733,3262.808,47137322000,0.007562216521812104,0.007590882294539636
2025-04-15,3260.685,3268.985,3246.337,3267.662,39666289500,0.0014865701531121545,0.0014876756462531837
2025-04-16,3267.665,3276.005,3233.791,3276.004,42953485400,0.0025496425150848268,0.0025528956177229833
2025-04-17,3261.718,3285.915,3258.145,3280.341,38201269800,0.0013229934155667422,0.0013238689574248674
2025-04-18,3270.353,3283.09,3262.392,3276.73,35883619300,-0.0011014065167334053,-0.0011008001911996246
2025-04-21,3273.138,3298.64,3270.013,3291.434,37930758800,0.004477362186440459,0.004487400548717879
2025-04-22,3289.166,3311.153,3288.332,3299.757,40316761500,0.0025254933209346575,0.0025286850655368287
2025-04-23,3308.151,3312.192,3293.063,3296.355,41163321200,-0.0010315168395109708,-0.0010309850088960903
2025-04-24,3295.149,3313.509,3286.236,3297.288,39284474900,0.0002829998549280788,0.00028303990316569383
2025-04-25,3300.392,3305.262,3288.755,3295.06,41104319200,-0.0006759352160496945,-0.0006757068233045338
2025-04-28,3292.056,3296.932,3279.877,3288.415,41066586300,-0.0020186914225668318,-0.0020166552354130562
2025-04-29,3281.445,3294.982,3277.627,3286.655,38896167200,-0.0005353555299141277,-0.000535212252711359
2025-04-30,3284.081,3292.2,3277.55,3279.031,43579433500,-0.00232237832471327,-0.002319683690560792
2025-05-06,3295.25,3316.448,3286.989,3316.114,47436961700,0.01124566353203349,0.011309133704438867
2025-05-07,3354.974,3356.688,3324.809,3342.665,51115960600,0.007974777572188785,0.008006660808403954
2025-05-08,3331.205,3359.731,3327.902,3351.996,42837776600,0.002787596277798343,0.002791485237078728
2025-05-09,3350.405,3351.22,3335.127,3341.999,39890919100,-0.002986858350567445,-0.0029824021269716505
2025-05-12,3352.97,3372.472,3344.269,3369.245,41823991000,0.008119552705101896,0.008152605671037039
2025-05-13,3386.234,3386.234,3370.252,3374.871,42624070000,0.0016684177155479318,0.0016698102987464658
2025-05-14,3374.235,3417.314,3368.078,3403.948,46493444100,0.008578833076951398,0.008615736720010814
2025-05-15,3398.427,3402.866,3378.021,3380.821,42410091600,-0.006817355040809048,-0.006794169593660082
2025-05-16,3374.706,3380.29,3356.661,3367.462,39540103000,-0.003959234504772979,-0.003951407069466284
2025-05-19,3365.882,3373.599,3356.648,3367.583,40307480500,3.593146000113734e-05,3.593210554431181e-05
2025-05-20,3371.689,3387.804,3369.963,3380.478,40554453400,0.003821843251234469,0.0038291558069987186
2025-05-21,3380.209,3394.754,3380.209,3387.574,41249616500,0.0020969113712823173,0.002099111427437128
2025-05-22,3381.865,3390.593,3376.233,3380.189,39421720600,-0.002182405894286532,-0.00218002617802604
2025-05-23,3376.869,3389.469,3348.372,3348.372,40022700400,-0.009457367525426363,-0.009412787273137657
2025-05-26,3346.561,3362.307,3336.355,3346.839,34756210100,-0.00045793927235315834,-0.0004578344341668039
2025-05-27,3346.503,3351.572,3332.49,3340.687,34407115700,-0.0018398438332454248,-0.0018381523580907055
2025-05-28,3341.852,3348.234,3336.727,3339.932,34155544300,-0.00022602696044060622,-0.00022600141827122666
2025-05-29,3340.401,3368.633,3337.415,3363.446,39323380600,0.007015596149805958,0.007040263095176913
2025-05-30,3358.809,3361.275,3341.648,3347.487,38560217000,-0.004756128569221474,-0.004744836099643046
2025-06-03,3340.067,3366.997,3340.067,3361.976,39806077200,0.004318981272469102,0.0043283215140192954
2025-06-04,3363.391,3379.64,3363.391,3376.203,38649464300,0.0042228089047355866,0.004231737525788315
2025-06-05,3378.217,3387.765,3371.146,3384.099,40625209300,0.0023359913774889662,0.002338721931116172
