date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-06-15,1924.07,1936.15,1882.79,1922.23,2936130.0,6412821567.0,1256197800.0,0.002337315031120099,0.006492682032227748,0.006513805182768895
2021-06-16,1921.36,1923.99,1882.79,1891.55,2759315.0,5978924528.0,1256197800.0,0.0021965609237653495,-0.01608937161347601,-0.015960629061038567
2021-06-17,1889.49,1917.85,1879.6,1890.6,2106753.0,4558702643.0,1256197800.0,0.0016770870001523645,-0.0005023597794791002,-0.000502233617932446
2021-06-18,1881.91,1890.24,1810.04,1832.77,5402821.0,11329180836.0,1256197800.0,0.004300931748168959,-0.031065755384041438,-0.030588173066751212
2021-06-21,1827.57,1840.44,1796.89,1824.62,3548826.0,7367986471.0,1256197800.0,0.0028250535067009352,-0.004456737449356041,-0.004446820932250128
2021-06-22,1833.7,1838.96,1800.3,1818.78,3322818.0,6900830616.0,1256197800.0,0.00264513916518561,-0.0032057995287617658,-0.0032006664401353913
2021-06-23,1823.18,1825.81,1783.0,1786.37,3707901.0,7596735684.0,1256197800.0,0.0029516856342209803,-0.017980318795466133,-0.017819637339315464
2021-06-24,1788.13,1823.18,1771.47,1812.71,3147370.0,6452557073.0,1256197800.0,0.0025054732622521707,0.014637335252645656,0.01474498564127269
2021-06-25,1813.77,1866.01,1807.26,1850.97,3587543.0,7459680452.0,1256197800.0,0.0028558742898610393,0.0208868629004213,0.021106520072157187
2021-06-28,1858.05,1873.97,1834.16,1860.71,2745242.0,5750241214.0,1256197800.0,0.0021853580702020014,0.005248309313920174,0.005262105814789031
2021-06-29,1865.13,1871.32,1814.69,1824.43,3303063.0,6835635172.0,1256197800.0,0.0026294131385996697,-0.019690525835964756,-0.019497933584491922
2021-06-30,1827.08,1835.04,1810.54,1819.74,2191566.0,4511484217.0,1256197800.0,0.0017446026413993083,-0.002573975741751333,-0.002570665906611924
2021-07-01,1822.63,1866.9,1797.53,1862.47,3370124.0,6970730878.0,1256197800.0,0.0026827972473761697,0.023209930018508906,0.023481376460373404
2021-07-02,1835.93,1835.93,1779.75,1781.07,4627531.0,9388640194.0,1256197800.0,0.003683759834637507,-0.04468925646221855,-0.0437054019662062
2021-07-05,1769.57,1787.16,1756.3,1764.26,3442095.0,6872797768.0,1256197800.0,0.002740089976276029,-0.009482968283410997,-0.009438146732020591
2021-07-06,1765.15,1781.96,1734.19,1780.98,3528251.0,7015883091.0,1256197800.0,0.002808674716672804,0.009432435584533216,0.009477061204130832
2021-07-07,1778.42,1795.12,1768.69,1773.11,2812212.0,5658210730.0,1256197800.0,0.0022386697381574783,-0.004428707693475253,-0.004418915428584302
2021-07-08,1769.66,1773.11,1741.26,1756.3,3551669.0,7027713780.0,1256197800.0,0.002827316685318188,-0.009525743459177782,-0.009480517283191658
2021-07-09,1738.18,1757.1,1720.91,1744.89,3090790.0,6072340993.0,1256197800.0,0.0024604325847410336,-0.0065178070273761435,-0.006496612196093987
2021-07-12,1747.94,1768.49,1716.93,1735.06,3901024.0,7658786228.0,1256197800.0,0.0031054217735455355,-0.0056495214847371855,-0.005633592948552701
2021-07-13,1741.26,1774.44,1738.6,1754.44,2992471.0,5946287259.0,1256197800.0,0.002382165451969427,0.011107722745792081,0.011169642548384484
2021-07-14,1746.57,1747.01,1720.91,1735.95,3077069.0,6011814880.0,1256197800.0,0.0024495099418260407,-0.01059490369917171,-0.010538975399557726
2021-07-15,1729.77,1781.07,1725.86,1767.79,4219005.0,8391506229.0,1256197800.0,0.003358551495632296,0.01817536490015037,0.0183415420951063
2021-07-16,1751.87,1766.56,1725.33,1730.55,3540764.0,6958296859.0,1256197800.0,0.002818635727590034,-0.0212909018209384,-0.021065850581799883
2021-07-19,1730.54,1757.18,1717.37,1747.45,3005234.0,5900348210.0,1256197800.0,0.002392325476131227,0.009718305353926482,0.009765681430758955
2021-07-20,1747.45,1759.78,1735.43,1751.87,2347521.0,4639300956.0,1256197800.0,0.0018687510836271166,0.002526206434735556,0.00252939998283197
2021-07-21,1759.84,1774.88,1735.96,1742.14,2978013.0,5902656221.0,1256197800.0,0.002370656118009441,-0.005569546253108015,-0.00555406508473788
2021-07-22,1734.18,1746.48,1715.56,1716.49,3909047.0,7619076855.0,1256197800.0,0.003111808506590284,-0.014832734504516942,-0.014723271378878855
2021-07-23,1714.55,1714.55,1676.75,1681.09,4758547.0,9057761876.0,1256197800.0,0.0037880555116399663,-0.020839115537235386,-0.020623481639858166
2021-07-26,1662.51,1662.51,1574.92,1596.25,9861948.0,17894360803.0,1256197800.0,0.007850633077052038,-0.05178526418846108,-0.05046725636343086
2021-07-27,1595.27,1601.46,1506.79,1515.54,8657699.0,15230805685.0,1256197800.0,0.00689198707401016,-0.05188531726780887,-0.05056225528582614
2021-07-28,1506.79,1582.17,1488.31,1565.1,8536884.0,14792470948.0,1256197800.0,0.006795811933439145,0.03217790861751624,0.03270121540836923
2021-07-29,1601.47,1612.96,1534.52,1548.19,6386385.0,11299569857.0,1256197800.0,0.0050839007996989006,-0.010863213060512855,-0.010804421442719203
2021-07-30,1526.25,1526.25,1466.76,1485.55,7773589.0,13109725032.0,1256197800.0,0.006188188675382173,-0.04130143259894847,-0.04046015023995764
